submission_id,scenario_category,experience_level,skills,bio,questionnaire_response,source,completeness_label,text_quality_label,plausibility_label,consistency_label,expected_verdict
S030,Poor-quality writing,Intermediate,"hr, recruiting",i do hr stuff like hiring ppl and onboarding and handlin complaints n stuff its a busy job lots going on all the time,hired some ppl for open roles last year,Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S028,Poor-quality writing,Entry,"customer service, phones",worked a call center answerin phones and stuff for like 2 years ppl called with problems and i helpd them out mostly,helped alot of customers with their problems dont remember specifics,Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S107,Mixed human/AI-edited,Intermediate,"Claims Review, Customer Communication","I've processed insurance claims for two years at a regional office. Committed to delivering thorough, client-centric claims review that balances efficiency with careful attention to detail.","Processed roughly 15-20 claims a week, mostly auto and home property claims.",Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S118,Edge case - overqualified for entry role,Entry,"Strategic Planning, Team Leadership, P&L Management","After fifteen years as a regional operations director, I recently relocated and am deliberately looking for an entry-level role to rebuild local experience and take some career pressure off for a while.","Managed operations across 12 retail locations in my previous role, though I'm applying here for something lower-key.",Human,Yes,Good,Plausible,Consistent,Needs Improvement
S005,"Complete, genuine (human)",Intermediate,"Google Analytics, SEO, Paid Search","Marketing analyst who has spent the past three years split between SEO and paid acquisition for a mid-size retail brand. I'm comfortable pulling my own data and building dashboards, not just handing reporting off to someone else.","Ran an A/B test on landing page copy that improved conversion rate from 2.1% to 2.6%, which we rolled out site-wide.",Human,Yes,Good,Plausible,Consistent,Verified
S055,Implausible claims,Entry,Real Estate,"Every property I have ever listed sold within 24 hours at 20% above asking price, in every market condition, without exception, over my entire two-year career.",I have a 100% close rate on every deal I have ever touched.,Human,Yes,Fair,Implausible,Consistent,Flagged
S076,"AI-generated, suspicious",Entry,"Sales, Negotiation, Client Relations","As a results-oriented sales professional with an unwavering commitment to excellence, I consistently exceed targets by leveraging a client-centric approach that drives sustainable, long-term revenue growth across every account I manage.","I have consistently closed every deal I have pursued, exceeding quota by significant margins each and every quarter without fail.",AI,Yes,Fair,Implausible,Consistent,Flagged
S012,"Complete, genuine (human)",Intermediate,"Calendar Management, Travel Coordination, Confidentiality","I've worked as an executive assistant supporting a VP-level team for three years, managing complex calendars across three time zones and coordinating international travel. I'm used to handling sensitive information with discretion.","Reorganized the executive's meeting structure, cutting weekly calendar conflicts from several per week to almost none.",Human,Yes,Good,Plausible,Consistent,Verified
S070,"AI-generated, plausible",Intermediate,"Warehouse Operations, WMS, Team Leadership","I am a warehouse operations supervisor with five years of experience overseeing daily fulfillment operations and leading shift teams. I focus on balancing throughput targets with safe, sustainable working conditions.","I restructured our shift scheduling process, which reduced overtime costs while maintaining our fulfillment targets.",AI,Yes,Good,Plausible,Consistent,Verified
S112,Edge case - non-English mixed in,Intermediate,"Traduction, Content Writing, SEO","Je suis redactrice freelance depuis trois ans, specialisee dans le contenu SEO en francais et en anglais. I also write blog content for English-speaking clients in the SaaS space.",Wrote a 12-part blog series for a SaaS client that doubled their organic traffic over six months.,Human,Yes,Good,Plausible,Consistent,Verified
S087,"Human-written, suspicious",Intermediate,"Coding, basically everything","honestly im just built different when it comes to coding, never had a bug in production ever, other devs on my old team used to call me the goat fr",cant name a specific project but i built way more impressive stuff than most senior devs tbh,Human,Yes,Poor,Implausible,Consistent,Flagged
S014,Incomplete,,"Figma, Sketch",I design things.,N/A,Human,No,Poor,Plausible,Consistent,Needs Improvement
S117,Edge case - resume-paste bullet format,Intermediate,"Project Coordination, MS Office, Scheduling","- Coordinated cross-departmental projects for 3 years
- Managed vendor relationships and procurement
- Built weekly status reports for leadership
- Trained 2 new coordinators on internal processes","- Led scheduling for a 6-month office relocation project
- Delivered on time and under budget",Human,Yes,Fair,Plausible,Consistent,Needs Improvement
S018,Incomplete,Entry,QA testing,,I test software for bugs.,Human,No,Poor,Plausible,Consistent,Needs Improvement
S029,Poor-quality writing,Intermediate,"teaching, lesson plans","been a teacher for a bit teach math n stuff to kids, make lesson plans and grade papers its a lot of work honestly",taught math class had good results i think,Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S032,Poor-quality writing,Entry,"forklift, packing","worked in a warehouse packin boxes and drivin forklift n stuff for like a year, its tireing work but i got used to it",packed alot of orders every day dont remember exact numbers,Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S036,Poor-quality writing,Entry,"coffee, customer service","worked at a coffee shop makin drinks n stuff for like a year, dealt with customers n cash register n cleanin up n all that",made alot of coffee n stuff for customers every day,Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S095,"Human-written, suspicious",Intermediate,Personal Training,"everyone i train gets a six pack in like a week no matter what they looked like before, its basically magic honestly im just built different as a trainer",cant name a specific client but trust me the results are always insane no exceptions,Human,Yes,Poor,Implausible,Consistent,Flagged
S004,"Complete, genuine (human)",Intermediate,"Figma, User Research, Prototyping","Product designer with five years of experience, mostly on B2B SaaS dashboards. I run my own usability sessions and work closely with engineering to make sure designs actually ship as intended, not just look good in Figma.","Redesigned our onboarding flow after running eight user interviews, which raised activation rate from 52% to 61% over one quarter.",Human,Yes,Good,Plausible,Consistent,Verified
S015,Incomplete,Expert,,"TBD, will fill in later.",,Human,No,Poor,Implausible,Consistent,Needs Improvement
S082,"AI-generated, suspicious",Entry,"Photography, Visual Storytelling","As a visionary and detail-obsessed visual storyteller, I leverage a unique creative lens to consistently deliver breathtaking, awe-inspiring imagery that captures the essence of every moment with unparalleled artistic precision.",Every single photograph I have ever taken has been praised as a masterpiece by everyone who has seen it.,AI,Yes,Fair,Implausible,Consistent,Flagged
